iter	MultiClass
0	1.649372176
1	1.466846227
2	1.322716429
3	1.208898231
4	1.109765414
5	1.032297145
6	0.9674372144
7	0.9111734141
8	0.8640545839
9	0.8202627601
10	0.7809793503
11	0.7470333659
12	0.7175563704
13	0.6921359787
14	0.6659877526
15	0.6436639105
16	0.6234267327
17	0.6048439448
18	0.5852436693
19	0.5692324941
20	0.5542829684
21	0.5406812647
22	0.5276180802
23	0.5171331629
24	0.5073094338
25	0.4963697689
26	0.4872077954
27	0.4790760319
28	0.4724189805
29	0.4651205368
30	0.4587130051
31	0.4512665856
32	0.4465512781
33	0.4415216934
34	0.4363398187
35	0.4315536332
36	0.4273769735
37	0.4221848131
38	0.4164953463
39	0.4120837145
40	0.408415394
41	0.4046943179
42	0.4010661358
43	0.3968913241
44	0.3943535202
45	0.3903573094
46	0.3874682763
47	0.3854641045
48	0.3826640261
49	0.3796860329
50	0.3770065898
51	0.3739742163
52	0.3717742381
53	0.3686480261
54	0.3667357179
55	0.3641231502
56	0.3619639268
57	0.359815052
58	0.3581404713
59	0.3558826026
60	0.3545028582
61	0.3523421412
62	0.3506104612
63	0.348000614
64	0.3463102492
65	0.3444399291
66	0.3428107739
67	0.3413712524
68	0.3399256029
69	0.3385931285
70	0.3372454951
71	0.3362590117
72	0.3340859959
73	0.3329252046
74	0.3317416671
75	0.3300122258
76	0.3291240718
77	0.3277299816
78	0.3265481102
79	0.3249047764
80	0.3239048905
81	0.3228830122
82	0.3215204542
83	0.3197982863
84	0.3184881966
85	0.3173910583
86	0.3161335142
87	0.3150654993
88	0.314032678
89	0.3130724224
90	0.3123313539
91	0.3113101618
92	0.3104036146
93	0.309473229
94	0.308304995
95	0.3075896519
96	0.3067277464
97	0.3059269729
98	0.3049153619
99	0.3039872038
100	0.3031602593
101	0.3027397734
102	0.3017208537
103	0.3008524345
104	0.2998664636
105	0.2990061882
106	0.2983085355
107	0.2975869797
108	0.2970397916
109	0.2963566017
110	0.2958039546
111	0.295282538
112	0.2946801523
113	0.2938875837
114	0.2933508737
115	0.292629634
116	0.2918791768
117	0.2912288643
118	0.2905344013
119	0.2899608444
120	0.2889342074
121	0.2882512817
122	0.2874213767
123	0.2866637361
124	0.2862150686
125	0.2853739762
126	0.2849641317
127	0.2845843091
128	0.2837750232
129	0.2833394305
130	0.2828922449
131	0.2824296658
132	0.2820985828
133	0.2811112754
134	0.2802143895
135	0.2793802182
136	0.2787800275
137	0.2783695225
138	0.2779630597
139	0.2776261309
140	0.2769524184
141	0.2763130796
142	0.2757883088
143	0.2750961029
144	0.274529094
145	0.2741130665
146	0.2736661837
147	0.273080177
148	0.2726193053
149	0.2720536131
150	0.2717030823
151	0.2711595437
152	0.2706132818
153	0.2698621781
154	0.2694927674
155	0.2690102571
156	0.2687305411
157	0.2684656431
158	0.2679906073
159	0.26756181
160	0.2672124157
161	0.2667961224
162	0.266580485
163	0.2661538369
164	0.2657900509
165	0.2654394766
166	0.265074353
167	0.2648135394
168	0.2640538493
169	0.2636789959
170	0.2634163126
171	0.2628109715
172	0.2622926596
173	0.2619348387
174	0.2615353091
175	0.2612148058
176	0.2606432329
177	0.2603057407
178	0.2599559854
179	0.2593611493
180	0.2590606613
181	0.2585794329
182	0.2582139398
183	0.2578367524
184	0.2574917844
185	0.2571740738
186	0.256773357
187	0.2564244541
188	0.2559737955
189	0.2554512768
190	0.2549216091
191	0.2546085193
192	0.2543643053
193	0.2538537033
194	0.2534700601
195	0.2530806244
196	0.2524954662
197	0.2522015891
198	0.2518634265
199	0.2516493346
200	0.2513135729
201	0.2509501236
202	0.2506873338
203	0.250433316
204	0.2501164211
205	0.2497038695
206	0.2494991593
207	0.2493234608
208	0.2491101028
209	0.2487768208
210	0.2485285267
211	0.2482685486
212	0.2480765711
213	0.2478288105
214	0.2475617815
215	0.2471714476
216	0.2469254523
217	0.2467278625
218	0.2463940296
219	0.2462313765
220	0.2459141971
221	0.2456760145
222	0.2454999756
223	0.2452530416
224	0.2449800256
225	0.2446314682
226	0.2444193456
227	0.2440765321
228	0.2437893089
229	0.2434755948
230	0.2431984425
231	0.2429473374
232	0.2426858991
233	0.2423492052
234	0.2422334662
235	0.2419972853
236	0.2417400886
237	0.2413495858
238	0.2410275203
239	0.2407524644
240	0.2404426553
241	0.2402411097
242	0.2399856309
243	0.239757616
244	0.2394329438
245	0.2392728468
246	0.2390741422
247	0.2388770914
248	0.2386779292
249	0.2384904794
250	0.23819045
251	0.2380268039
252	0.2377358966
253	0.2375264928
254	0.2371100043
255	0.2368425023
256	0.2366090891
257	0.2364096106
258	0.2361700828
259	0.2360257538
260	0.2355986742
261	0.2352229037
262	0.2348167892
263	0.2346491599
264	0.2344104853
265	0.2341824004
266	0.2338881688
267	0.2336196117
268	0.2333798982
269	0.2330918529
270	0.2327969679
271	0.2325341046
272	0.2324047268
273	0.2321561059
274	0.2320261139
275	0.2318346395
276	0.2316067092
277	0.2314333114
278	0.2312499662
279	0.2309244537
280	0.2306431289
281	0.2303328188
282	0.2300527231
283	0.2298937761
284	0.2296159892
285	0.2293960304
286	0.2291987822
